types,uri,prefLabel,notations,altLabels,definition,exactMatches,inScheme,topConceptOf,isSubjectOfs,collections,casNumbers,inchi,iupacName,pubchem,smiles,formula,vmmParameterIds,seeAlso,inchikey
http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/lucht,Chemische stoffen die in lucht gemeten worden.,,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,,,,,,,,,,
http://www.w3.org/2004/02/skos/core#Collection,https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/water,Chemische stoffen die in water gemeten worden.,,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,,,,,,,,,,
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AAEVYOVXGOFMJO-UHFFFAOYSA-N,prometryn,promtne,prometryne,,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_7287-19-6,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/water,7287-19-6|83653-07-0,"InChI=1S/C10H19N5S/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)","6-methylsulfanyl-N,N'-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",4929,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,C10H19N5S,530,https://pubchem.ncbi.nlm.nih.gov/compound/4929,InChIKey=AAEVYOVXGOFMJO-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AAOVKJBEBIDNHE-UHFFFAOYSA-N,diazepam,valum,valium,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,11100-37-1|439-14-5|53320-84-6,"InChI=1S/C16H13ClN2O/c1-19-14-8-7-12(17)9-13(14)16(18-10-15(19)20)11-5-3-2-4-6-11/h2-9H,10H2,1H3","7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,C16H13ClN2O,,https://pubchem.ncbi.nlm.nih.gov/compound/3016,InChIKey=AAOVKJBEBIDNHE-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AAPVQEMYVNZIOO-UHFFFAOYSA-N,endosulfansulfaat,endsfSO4,,,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1031-07-8,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,https://data.omgeving.vlaanderen.be/id/collection/chemische_stof/water,1031-07-8|87695-43-0|6749-25-3,"InChI=1S/C9H6Cl6O4S/c10-5-6(11)8(13)4-2-19-20(16,17)18-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2",,13940,C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,C9H6Cl6O4S,238,https://pubchem.ncbi.nlm.nih.gov/compound/13940,InChIKey=AAPVQEMYVNZIOO-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ABBKOIZWGCVCKE-UHFFFAOYSA-N,1-(4-isopropylfenyl)ureum,14iC3yFyurum,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,56046-17-4,"InChI=1S/C10H14N2O/c1-7(2)8-3-5-9(6-4-8)12-10(11)13/h3-7H,1-2H3,(H3,11,12,13)",(4-propan-2-ylphenyl)urea,185831,CC(C)C1=CC=C(C=C1)NC(=O)N,C10H14N2O,,https://pubchem.ncbi.nlm.nih.gov/compound/185831,InChIKey=ABBKOIZWGCVCKE-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ABOOPXYCKNFDNJ-UHFFFAOYSA-N,quizalofop,quizlfp,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,76578-12-6|95977-28-9,"InChI=1S/C17H13ClN2O4/c1-10(17(21)22)23-12-3-5-13(6-4-12)24-16-9-19-15-8-11(18)2-7-14(15)20-16/h2-10H,1H3,(H,21,22)",2-[4-(6-chloroquinoxalin-2-yl)oxyphenoxy]propanoic acid,178795,CC(C(=O)O)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl,C17H13ClN2O4,,https://pubchem.ncbi.nlm.nih.gov/compound/178795,InChIKey=ABOOPXYCKNFDNJ-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ABOVRDBEJDIBMZ-UHFFFAOYSA-N,flucofuron,flucfrn,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,370-50-3,"InChI=1S/C15H8Cl2F6N2O/c16-11-3-1-7(5-9(11)14(18,19)20)24-13(26)25-8-2-4-12(17)10(6-8)15(21,22)23/h1-6H,(H2,24,25,26)","1,3-bis[4-chloro-3-(trifluoromethyl)phenyl]urea",67788,C1=CC(=C(C=C1NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C(F)(F)F)Cl,C15H8Cl2F6N2O,,https://pubchem.ncbi.nlm.nih.gov/compound/67788,InChIKey=ABOVRDBEJDIBMZ-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACEKLXZRZOWKRY-UHFFFAOYSA-N,perfluorpentaansulfonzuur (pfpes),PFC5asfzr,perfluor-1-pentaansulfonzuur|perfluor-n-pentaansulfonzuur|perfluor-n-pentaansulfonzuur (pfpes),,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,2706-91-4,"InChI=1S/C5HF11O3S/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)20(17,18)19/h(H,17,18,19)","1,1,2,2,3,3,4,4,5,5,5-undecafluoropentane-1-sulfonic acid",75922,C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,C5HF11O3S,,https://pubchem.ncbi.nlm.nih.gov/compound/75922,InChIKey=ACEKLXZRZOWKRY-UHFFFAOYSA-N
http://dbpedia.org/ontology/ChemicalCompound|http://dbpedia.org/ontology/ChemicalSubstance|http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/ACGUYXCXAPNIKK-UHFFFAOYSA-N,hexachloorfeen,HxClfn,,,,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,https://data.omgeving.vlaanderen.be/id/conceptscheme/chemische_stof,,,139411-96-4|8054-98-6|70-30-4,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2","3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol",3598,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,C13H6Cl6O2,,https://pubchem.ncbi.nlm.nih.gov/compound/3598,InChIKey=ACGUYXCXAPNIKK-UHFFFAOYSA-N
